,Brite,Definition,Ensembl,Entry,KO,Module,Motif,Other DBs,Pathway,Gene_ID,Protein_ID,UniProt
10,Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  Pre-40S particles  Export and cytoplasmic maturation factors  CHLREDRAFT_100576,(RefSeq) hypothetical protein,CHLREDRAFT_100576,CHLREDRAFT_100576?CDS T01039,K09140 pre-rRNA-processing protein TSR3,,Pfam:?Ribo_biogen_C RLI,NCBI-GeneID:?5717338NCBI-ProteinID:?XP_001691620JGI:?100576UniProt:?A8IQQ5,,5717338,XP_001691620,A8IQQ5
11,,(RefSeq) hypothetical protein,CHLREDRAFT_100620,CHLREDRAFT_100620?CDS T01039,,,Pfam:?Grp1_Fun34_YaaH,NCBI-GeneID:?5717268NCBI-ProteinID:?XP_001691752JGI:?100620UniProt:?A8IQ53,,5717268,XP_001691752,A8IQ53
12,"Chromosome [BR:cre03036] ?Eukaryotic Type  Nucleosome assembly factors  Histones  CHLREDRAFT_100672 (HTB30) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_100672 (HTB30)",(RefSeq) histone H2B,CHLREDRAFT_100672,CHLREDRAFT_100672?CDS T01039,K11252 histone H2B,,Pfam:?Histone CBFD_NFYB_HMF YscO-like TFIID_20kDa 4HB_MCP_1 DUF3915 NPR3,NCBI-GeneID:?5717161NCBI-ProteinID:?XP_001691541JGI:?100672UniProt:?P54346 A8IR69,,5717161,XP_001691541,P54346 A8IR69
13,,(RefSeq) hypothetical protein,CHLREDRAFT_100676,CHLREDRAFT_100676?CDS T01039,,,Pfam:?Pkinase Pkinase_Tyr APH Kinase-like Haspin_kinase,NCBI-GeneID:?5717184NCBI-ProteinID:?XP_001691700JGI:?100676UniProt:?A8IRA0,,5717184,XP_001691700,A8IRA0
14,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Lipid metabolism  00564 Glycerophospholipid metabolism  CHLREDRAFT_100701 (GDPD3) Enzymes [BR:cre01000] ?3. Hydrolases  3.1 Acting on ester bonds  3.1.4 Phosphoric-diester hydrolases  3.1.4.46 glycerophosphodiester phosphodiesterase  CHLREDRAFT_100701 (GDPD3),(RefSeq) glycerophosphoryl diester phosphodiesterase family protein,CHLREDRAFT_100701,CHLREDRAFT_100701?CDS T01039,K01126 glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],,Pfam:?GDPD,NCBI-GeneID:?5717321NCBI-ProteinID:?XP_001691613JGI:?100701UniProt:?A8IQK6,cre00564 Glycerophospholipid metabolism,5717321,XP_001691613,A8IQK6
15,Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.11 Protein-serine/threonine kinases  2.7.11.22 cyclin-dependent kinase  CHLREDRAFT_100718 Protein kinases [BR:cre01001] ?Serine/threonine protein kinases: CMGC group  CDKL family  CHLREDRAFT_100718,(RefSeq) hypothetical protein,CHLREDRAFT_100718,CHLREDRAFT_100718?CDS T01039,K08824 cyclin-dependent kinase-like [EC:2.7.11.22],,Pfam:?Pkinase Pkinase_Tyr APH Kinase-like Haspin_kinase,NCBI-GeneID:?5717154NCBI-ProteinID:?XP_001691537JGI:?100718UniProt:?A8IR60,,5717154,XP_001691537,A8IR60
16,Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.11 Protein-serine/threonine kinases  2.7.11.22 cyclin-dependent kinase  CHLREDRAFT_100723 Protein kinases [BR:cre01001] ?Serine/threonine protein kinases: CMGC group  CDKL family  CHLREDRAFT_100723,(RefSeq) hypothetical protein,CHLREDRAFT_100723,CHLREDRAFT_100723?CDS T01039,K08824 cyclin-dependent kinase-like [EC:2.7.11.22],,Pfam:?Pkinase Pkinase_Tyr APH Kinase-like Seadorna_VP7 Haspin_kinase,NCBI-GeneID:?5717148NCBI-ProteinID:?XP_001691683JGI:?100723UniProt:?A8IR53,,5717148,XP_001691683,A8IR53
17,,(RefSeq) hypothetical protein,CHLREDRAFT_100730,CHLREDRAFT_100730?CDS T01039,,,Pfam:?Grp1_Fun34_YaaH,NCBI-GeneID:?5717309NCBI-ProteinID:?XP_001691772JGI:?100730UniProt:?A8IQH3,,5717309,XP_001691772,A8IQH3
18,,(RefSeq) hypothetical protein,CHLREDRAFT_100734,CHLREDRAFT_100734?CDS T01039,,,Pfam:?UPF0047,NCBI-GeneID:?5717110NCBI-ProteinID:?XP_001691519JGI:?100734UniProt:?A8IR06,,5717110,XP_001691519,A8IR06
19,Enzymes [BR:cre01000] ?6. Ligases  6.- 6.-.- 6.-.-.- CHLREDRAFT_100760 (FAP267) Cytoskeleton proteins [BR:cre04812] ?Eukaryotic cytoskeleton proteins  Microtubules  Tubulin-binding proteins  Tubulin modification proteins  Tubulin polyglutamylases  CHLREDRAFT_100760 (FAP267),"(RefSeq) flagellar associated protein, tubulin tyrosine ligase-like protein",CHLREDRAFT_100760,CHLREDRAFT_100760?CDS T01039,K16603 tubulin polyglutamylase TTLL9 [EC:6.-.-.-],,Pfam:?TTL ATPgrasp_YheCD ATPgrasp_ST,NCBI-GeneID:?5717327NCBI-ProteinID:?XP_001691616JGI:?100760UniProt:?A8IQM3,,5717327,XP_001691616,A8IQM3
20,Enzymes [BR:cre01000] ?1. Oxidoreductases  1.6 Acting on NADH or NADPH  1.6.2 With a heme protein as acceptor  1.6.2.4 NADPH---hemoprotein reductase  CHLREDRAFT_100777,(RefSeq) methionine synthase reductase,CHLREDRAFT_100777,CHLREDRAFT_100777?CDS T01039,K00327 NADPH-ferrihemoprotein reductase [EC:1.6.2.4],,Pfam:?FAD_binding_1 Flavodoxin_1 NAD_binding_1,NCBI-GeneID:?5717600NCBI-ProteinID:?XP_001691917JGI:?100777UniProt:?A8IS63,,5717600,XP_001691917,A8IS63
21,Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.11 Protein-serine/threonine kinases  2.7.11.1 non-specific serine/threonine protein kinase  CHLREDRAFT_100808 Protein kinases [BR:cre01001] ?Serine/threonine protein kinases: AGC group  AUR family [OT]  CHLREDRAFT_100808 Chromosome [BR:cre03036] ?Eukaryotic Type  Sister chromatid separation proteins  Aurora kinases  CHLREDRAFT_100808,(RefSeq) hypothetical protein,CHLREDRAFT_100808,CHLREDRAFT_100808?CDS T01039,"K08850 aurora kinase, other [EC:2.7.11.1]",,Pfam:?Pkinase Pkinase_Tyr Kinase-like Kdo APH Pox_ser-thr_kin YrbL-PhoP_reg,NCBI-GeneID:?5717419NCBI-ProteinID:?XP_001691824JGI:?100808UniProt:?A8IRG6,,5717419,XP_001691824,A8IRG6
22,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00240 Pyrimidine metabolism  CHLREDRAFT_100842 Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.1 In phosphorus-containing anhydrides  3.6.1.23 dUTP diphosphatase  CHLREDRAFT_100842 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  Other factors with a suspected DNA repair function  Modulation of nucleotide pools  CHLREDRAFT_100842 ?Prokaryotic Type  CHLREDRAFT_100842,(RefSeq) dUTP pyrophosphatase,CHLREDRAFT_100842,CHLREDRAFT_100842?CDS T01039,K01520 dUTP pyrophosphatase [EC:3.6.1.23],,Pfam:?dUTPase DCD,NCBI-GeneID:?5717709NCBI-ProteinID:?XP_001692126JGI:?100842UniProt:?A8ISK5,cre00240 Pyrimidine metabolismcre01100 Metabolic pathways,5717709,XP_001692126,A8ISK5
23,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_100906  Metabolism of cofactors and vitamins  00730 Thiamine metabolism  CHLREDRAFT_100906 Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.1 In phosphorus-containing anhydrides  3.6.1.15 nucleoside-triphosphate phosphatase  CHLREDRAFT_100906,(RefSeq) hypothetical protein,CHLREDRAFT_100906,CHLREDRAFT_100906?CDS T01039,K06928 nucleoside-triphosphatase [EC:3.6.1.15],,Pfam:?NTPase_1 AAA_18 Viral_helicase1 AAA_22 AAA_16 AAA_17 AAA AAA_30 AAA_14 ATPase_2 NB-ARC ArgK AAA_33 NACHT RNA_helicase AAA_5 AAA_28 MMR_HSR1 DAP3 Zeta_toxin DUF815 ATPase PduV-EutP,NCBI-GeneID:?5717567NCBI-ProteinID:?XP_001692060JGI:?100906UniProt:?A8IS18,cre00230 Purine metabolismcre00730 Thiamine metabolismcre01100 Metabolic pathways,5717567,XP_001692060,A8IS18
24,,(RefSeq) hypothetical protein,CHLREDRAFT_100930,CHLREDRAFT_100930?CDS T01039,,,Pfam:?ABC_tran SMC_N ABC_ATPase AAA_16 AAA_30 APS_kinase AAA_22 AAA_29 RsgA_GTPase AAA_25 AAA_33 AAA_18,NCBI-GeneID:?5717705NCBI-ProteinID:?XP_001692124JGI:?100930UniProt:?A8ISJ9,,5717705,XP_001692124,A8ISJ9
25,Enzymes [BR:cre01000] ?2. Transferases  2.3 Acyltransferases  2.3.2 Aminoacyltransferases  2.3.2.27 RING-type E3 ubiquitin transferase  CHLREDRAFT_100959 Ubiquitin system [BR:cre04121] ?Ubiquitin ligases (E3)  Single Ring-finger type E3  RBR proteins  CHLREDRAFT_100959,(RefSeq) hypothetical protein,CHLREDRAFT_100959,CHLREDRAFT_100959?CDS T01039,K11968 ariadne-1 [EC:2.3.2.27],,Pfam:?IBR zf-C3HC4_2 zf-C3HC4 zf-RING_UBOX zf-RING_2 ANTAR DUF349 HEV_ORF1 UBA_4 DUF2612,NCBI-GeneID:?5717571NCBI-ProteinID:?XP_001691902JGI:?100959UniProt:?A8IS24,,5717571,XP_001691902,A8IS24
26,Ubiquitin system [BR:cre04121] ?Deubiquitinating enzyme (DUB)  UBL-specific proteases (ULPs)  COP9 signalosome (CSN) complex  CHLREDRAFT_100963,(RefSeq) hypothetical protein,CHLREDRAFT_100963,CHLREDRAFT_100963?CDS T01039,K12177 COP9 signalosome complex subunit 3,,,NCBI-GeneID:?5717698NCBI-ProteinID:?XP_001692121JGI:?100963UniProt:?A8ISJ0,,5717698,XP_001692121,A8ISJ0
27,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Amino acid metabolism  00340 Histidine metabolism  CHLREDRAFT_101034 Enzymes [BR:cre01000] ?2. Transferases  2.1 Transferring one-carbon groups  2.1.1 Methyltransferases  2.1.1.22 carnosine N-methyltransferase  CHLREDRAFT_101034,(RefSeq) hypothetical protein,CHLREDRAFT_101034,CHLREDRAFT_101034?CDS T01039,K19787 carnosine N-methyltransferase [EC:2.1.1.22],,Pfam:?N2227 Methyltransf_23 Methyltransf_12 Methyltransf_11 NNMT_PNMT_TEMT,NCBI-GeneID:?5717494NCBI-ProteinID:?XP_001691859JGI:?101034UniProt:?A8IRS5,cre00340 Histidine metabolism,5717494,XP_001691859,A8IRS5
28,,(RefSeq) hypothetical protein,CHLREDRAFT_101073,CHLREDRAFT_101073?CDS T01039,,,Pfam:?Pkinase Pkinase_Tyr APH Kinase-like Haspin_kinase,NCBI-GeneID:?5717781NCBI-ProteinID:?XP_001692196JGI:?101073UniProt:?A8IT04,,5717781,XP_001692196,A8IT04
29,Transporters [BR:cre02000] ?Solute Carrier Family (SLC)  SLC25: Mitochondrial carrier  CHLREDRAFT_101120 (UCP3),(RefSeq) uncoupling protein,CHLREDRAFT_101120,CHLREDRAFT_101120?CDS T01039,"K15112 solute carrier family 25 (mitochondrial uncoupling protein), member 27",,Pfam:?Mito_carr,NCBI-GeneID:?5717773NCBI-ProteinID:?XP_001692254JGI:?101120UniProt:?A8ISP5,,5717773,XP_001692254,A8ISP5
30,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Replication and repair  03430 Mismatch repair  CHLREDRAFT_101121 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  MMR (mismatch exicision repair)  MutL homologs  CHLREDRAFT_101121,(RefSeq) hypothetical protein,CHLREDRAFT_101121,CHLREDRAFT_101121?CDS T01039,K10858 DNA mismatch repair protein PMS2,,Pfam:?MutL_C,NCBI-GeneID:?5717917NCBI-ProteinID:?XP_001692227JGI:?101121UniProt:?A8IT98,cre03430 Mismatch repair,5717917,XP_001692227,A8IT98
31,,(RefSeq) WD-repeat protein of flagellum central pair,CHLREDRAFT_101210,CHLREDRAFT_101210?CDS T01039,,,Pfam:?WD40 YabB IR1-M Fructosamin_kin Tho2 Sec34 Cep57_CLD_2,NCBI-GeneID:?5717820NCBI-ProteinID:?XP_001692235JGI:?101210UniProt:?A8ITB4,,5717820,XP_001692235,A8ITB4
32,,(RefSeq) hypothetical protein,CHLREDRAFT_101226,CHLREDRAFT_101226?CDS T01039,,,Pfam:?AAA AAA_16 RuvB_N AAA_28 Sigma54_activ_2 AAA_5 AAA_22 ATPase AAA_18 TIP49 Mg_chelatase IstB_IS21 AAA_25 NACHT Sigma54_activat AAA_33 Zeta_toxin TsaE AAA_24 DUF815,NCBI-GeneID:?5718081NCBI-ProteinID:?XP_001692612JGI:?101226UniProt:?A8IUB0,,5718081,XP_001692612,A8IUB0
33,,(RefSeq) squamosa promoter binding protein,CHLREDRAFT_101247,CHLREDRAFT_101247?CDS T01039,,,Pfam:?SBP,NCBI-GeneID:?5718132NCBI-ProteinID:?XP_001692549JGI:?101247UniProt:?A8ITV4,,5718132,XP_001692549,A8ITV4
34,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Carbohydrate metabolism  00040 Pentose and glucuronate interconversions  CHLREDRAFT_101248 Enzymes [BR:cre01000] ?1. Oxidoreductases  1.1 Acting on the CH-OH group of donors  1.1.1 With NAD+ or NADP+ as acceptor  1.1.1.- CHLREDRAFT_101248,(RefSeq) hypothetical protein,CHLREDRAFT_101248,CHLREDRAFT_101248?CDS T01039,K18106 D-galacturonate reductase [EC:1.1.1.-],,Pfam:?GFO_IDH_MocA,NCBI-GeneID:?5717988NCBI-ProteinID:?XP_001692519JGI:?101248UniProt:?A8ITM6,cre00040 Pentose and glucuronate interconversionscre01100 Metabolic pathways,5717988,XP_001692519,A8ITM6
35,,(RefSeq) hypothetical protein,CHLREDRAFT_101262,CHLREDRAFT_101262?CDS T01039,,,Pfam:?SpoU_methylase,NCBI-GeneID:?5718195NCBI-ProteinID:?XP_001692496JGI:?101262UniProt:?A8IUA8,,5718195,XP_001692496,A8IUA8
36,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_101275  00240 Pyrimidine metabolism  CHLREDRAFT_101275 ?Genetic Information Processing  Replication and repair  03030 DNA replication  CHLREDRAFT_101275  03410 Base excision repair  CHLREDRAFT_101275  03420 Nucleotide excision repair  CHLREDRAFT_101275 Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.7 Nucleotidyltransferases  2.7.7.7 DNA-directed DNA polymerase  CHLREDRAFT_101275 DNA replication proteins [BR:cre03032] ?Eukaryotic Type  DNA Replication Elongation Factors  DNA polymerase epsilon complex  CHLREDRAFT_101275 Chromosome [BR:cre03036] ?Eukaryotic Type  Chromatin remodeling factors  CHRAC complex  CHLREDRAFT_101275 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  BER (base exicision repair)  Long Patch-BER factors  DNA polymerase epsilon complex  CHLREDRAFT_101275,(RefSeq) hypothetical protein,CHLREDRAFT_101275,CHLREDRAFT_101275?CDS T01039,K02326 DNA polymerase epsilon subunit 3 [EC:2.7.7.7],,Pfam:?CBFD_NFYB_HMF Histone CENP-T_C Bromo_TP TAFII28 CENP-S,NCBI-GeneID:?5717994NCBI-ProteinID:?XP_001692409JGI:?101275UniProt:?A8ITP2,cre00230 Purine metabolismcre00240 Pyrimidine metabolismcre01100 Metabolic pathwayscre03030 DNA replicationcre03410 Base excision repaircre03420 Nucleotide excision repair,5717994,XP_001692409,A8ITP2
37,Enzymes [BR:cre01000] ?3. Hydrolases  3.1 Acting on ester bonds  3.1.26 Endoribonucleases producing 5'-phosphomonoesters  3.1.26.- CHLREDRAFT_101276 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  Other factors with a suspected DNA repair function  Nucleases  CHLREDRAFT_101276,(RefSeq) hypothetical protein,CHLREDRAFT_101276,CHLREDRAFT_101276?CDS T01039,K21813 endonuclease V [EC:3.1.26.-],,Pfam:?Endonuclease_5 DUF99,NCBI-GeneID:?5718141NCBI-ProteinID:?XP_001692558JGI:?101276UniProt:?A8ITX1,,5718141,XP_001692558,A8ITX1
38,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_101278 (PDE14) Enzymes [BR:cre01000] ?3. Hydrolases  3.1 Acting on ester bonds  3.1.4 Phosphoric-diester hydrolases  3.1.4.53 3',5'-cyclic-AMP phosphodiesterase  CHLREDRAFT_101278 (PDE14)","(RefSeq) 3',5'-cyclic-nucleotide phosphodiesterase",CHLREDRAFT_101278,CHLREDRAFT_101278?CDS T01039,K13293 cAMP-specific phosphodiesterase 4 [EC:3.1.4.53],,Pfam:?PDEase_I Nefa_Nip30_N,NCBI-GeneID:?5717989NCBI-ProteinID:?XP_001692404JGI:?101278UniProt:?A8ITN3,cre00230 Purine metabolism,5717989,XP_001692404,A8ITN3
39,Enzymes [BR:cre01000] ?3. Hydrolases  3.4 Acting on peptide bonds (peptidases)  3.4.13 Dipeptidases  3.4.13.9 Xaa-Pro dipeptidase  CHLREDRAFT_101282 Peptidases [BR:cre01002] ?Metallo Peptidases  Family M24  CHLREDRAFT_101282,(RefSeq) hypothetical protein,CHLREDRAFT_101282,CHLREDRAFT_101282?CDS T01039,K14213 Xaa-Pro dipeptidase [EC:3.4.13.9],,Pfam:?Peptidase_M24 AMP_N,NCBI-GeneID:?5718103NCBI-ProteinID:?XP_001692401JGI:?101282UniProt:?A8ITM4,,5718103,XP_001692401,A8ITM4
40,,(RefSeq) hypothetical protein,CHLREDRAFT_101285,CHLREDRAFT_101285?CDS T01039,,,Pfam:?Fe-S_biosyn DUF5108,NCBI-GeneID:?5718055NCBI-ProteinID:?XP_001692587JGI:?101285UniProt:?A8IU47,,5718055,XP_001692587,A8IU47
41,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03008 Ribosome biogenesis in eukaryotes  CHLREDRAFT_101305 Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  90S particles  U3 small nucleolar RNA-associated proteins  CHLREDRAFT_101305,(RefSeq) hypothetical protein,CHLREDRAFT_101305,CHLREDRAFT_101305?CDS T01039,K14555 U3 small nucleolar RNA-associated protein 13,,Pfam:?WD40 ANAPC4_WD40 Nup160 Ge1_WD40 Nucleoporin_N,NCBI-GeneID:?5718010NCBI-ProteinID:?XP_001692541JGI:?101305UniProt:?A8ITT4,cre03008 Ribosome biogenesis in eukaryotes,5718010,XP_001692541,A8ITT4
42,Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.11 Protein-serine/threonine kinases  2.7.11.1 non-specific serine/threonine protein kinase  CHLREDRAFT_101353 Protein kinases [BR:cre01001] ?Serine/threonine protein kinases: CAMK group  CDPK family  CHLREDRAFT_101353,(RefSeq) hypothetical protein,CHLREDRAFT_101353,CHLREDRAFT_101353?CDS T01039,K13412 calcium-dependent protein kinase [EC:2.7.11.1],,Pfam:?Pkinase Pkinase_Tyr Kinase-like ABC1,NCBI-GeneID:?5718157NCBI-ProteinID:?XP_001692574JGI:?101353UniProt:?A8IU15,,5718157,XP_001692574,A8IU15
43,,(RefSeq) hypothetical protein,CHLREDRAFT_101370,CHLREDRAFT_101370?CDS T01039,,,Pfam:?TAF Histone CENP-S TFIID-31kDa,NCBI-GeneID:?5718057NCBI-ProteinID:?XP_001692591JGI:?101370UniProt:?A8IU54,,5718057,XP_001692591,A8IU54
44,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03010 Ribosome  CHLREDRAFT_101404 Ribosome [BR:cre03011] ?Ribosomal Proteins  Mitochondria/ Chloroplast  Large subunit  CHLREDRAFT_101404  Bacteria  CHLREDRAFT_101404,(RefSeq) hypothetical protein,CHLREDRAFT_101404,CHLREDRAFT_101404?CDS T01039,K02899 large subunit ribosomal protein L27,,Pfam:?Ribosomal_L27,NCBI-GeneID:?5715796NCBI-ProteinID:?XP_001689801JGI:?101404UniProt:?A8HNP5,cre03010 Ribosome,5715796,XP_001689801,A8HNP5
